data,id_loja,id_produto,categoria,regiao,nivel_estoque,unid_vendidas,unid_pedidas,preco,desconto,condicao_climatica,promocao,preco_concorrente,sazonalidade,epidemia,demanda
2022-01-01,S002,P0006,Roupas,Sul,198,79,0,64.0,5,Nublado,0,57.37,Inverno,0,88
2022-01-01,S002,P0007,Brinquedos,Sul,233,89,226,25.47,10,Nublado,0,30.08,Inverno,0,93
2022-01-01,S002,P0008,Alimentos,Sul,124,124,99,25.63,5,Nublado,0,29.79,Inverno,0,112
2022-01-01,S002,P0009,Alimentos,Sul,131,131,260,64.84,10,Nublado,0,68.68,Inverno,0,145
2022-01-01,S002,P0010,Alimentos,Sul,242,118,194,117.17,5,Nublado,0,106.37,Inverno,0,195
2022-01-01,S002,P0011,Alimentos,Sul,206,49,191,84.71,10,Nublado,0,76.07,Inverno,0,79
2022-01-01,S002,P0012,Eletronicos,Sul,197,78,413,78.86,0,Nublado,0,69.84,Inverno,0,122
2022-01-01,S002,P0013,Alimentos,Sul,152,93,331,21.76,10,Nublado,0,21.12,Inverno,0,109
2022-01-01,S002,P0014,Eletronicos,Sul,153,69,289,100.18,10,Nublado,1,108.96,Inverno,0,63
2022-01-01,S002,P0015,Roupas,Sul,106,70,457,65.19,10,Nublado,0,64.23,Inverno,0,96
2022-01-01,S002,P0016,Roupas,Sul,113,113,323,111.87,5,Nublado,0,118.76,Inverno,0,194
2022-01-01,S002,P0017,Brinquedos,Sul,153,72,196,18.89,5,Nublado,0,18.27,Inverno,0,65
2022-01-01,S002,P0018,Roupas,Sul,126,69,86,27.67,0,Nublado,0,26.08,Inverno,0,79
2022-01-01,S002,P0019,Roupas,Sul,164,82,391,83.09,10,Nublado,0,74.12,Inverno,0,96
2022-01-01,S002,P0020,Moveis,Sul,126,43,132,125.8,0,Nublado,0,110.88,Inverno,0,53
2022-01-01,S003,P0001,Brinquedos,Leste,182,109,193,16.85,10,Ensolarado,0,15.48,Inverno,0,112
2022-01-01,S003,P0002,Alimentos,Leste,290,56,236,50.42,10,Ensolarado,1,45.94,Inverno,0,82
2022-01-01,S003,P0003,Eletronicos,Leste,122,122,127,83.17,20,Ensolarado,1,72.09,Inverno,0,126
2022-01-01,S003,P0004,Alimentos,Leste,203,122,518,26.29,5,Ensolarado,0,30.05,Inverno,0,158
2022-01-01,S003,P0005,Brinquedos,Leste,253,40,212,19.8,5,Ensolarado,0,17.3,Inverno,0,57
2022-01-01,S003,P0006,Brinquedos,Leste,227,106,0,44.64,0,Ensolarado,0,50.46,Inverno,0,136
2022-01-01,S003,P0007,Alimentos,Leste,247,123,552,18.65,0,Ensolarado,0,21.62,Inverno,0,142
2022-01-01,S003,P0008,Roupas,Leste,297,61,0,113.01,0,Ensolarado,0,126.44,Inverno,0,89
2022-01-01,S003,P0009,Alimentos,Leste,226,96,0,56.32,5,Ensolarado,0,66.33,Inverno,0,126
2022-01-01,S003,P0010,Alimentos,Leste,167,70,127,36.21,10,Ensolarado,0,39.87,Inverno,0,106
2022-01-01,S003,P0011,Eletronicos,Leste,159,157,293,131.16,10,Ensolarado,0,139.75,Inverno,0,149
2022-01-01,S003,P0012,Moveis,Leste,126,58,131,105.94,0,Ensolarado,0,103.35,Inverno,0,80
2022-01-01,S003,P0013,Alimentos,Leste,105,105,743,86.78,10,Ensolarado,0,78.8,Inverno,0,176
2022-01-01,S003,P0014,Alimentos,Leste,271,27,0,61.69,25,Ensolarado,1,53.36,Inverno,0,44
2022-01-01,S003,P0015,Alimentos,Leste,166,131,500,98.46,10,Ensolarado,0,104.52,Inverno,0,133
2022-01-01,S003,P0016,Eletronicos,Leste,292,80,0,94.11,10,Ensolarado,0,107.33,Inverno,0,108
2022-01-01,S003,P0017,Moveis,Leste,204,53,380,112.23,10,Ensolarado,0,133.9,Inverno,0,82
2022-01-01,S003,P0018,Moveis,Leste,289,56,316,134.95,5,Ensolarado,0,125.53,Inverno,0,75
2022-01-01,S003,P0019,Alimentos,Leste,201,109,0,59.71,0,Ensolarado,0,70.74,Inverno,0,123
2022-01-01,S003,P0020,Roupas,Leste,250,41,270,65.81,5,Ensolarado,0,57.66,Inverno,0,61
2022-01-01,S004,P0001,Alimentos,Oeste,215,85,287,10.47,0,Nevada,0,11.51,Inverno,0,81
2022-01-01,S004,P0002,Alimentos,Oeste,283,67,0,19.12,10,Nevada,1,20.62,Inverno,0,112
2022-01-01,S004,P0003,Moveis,Oeste,161,92,407,134.16,20,Nevada,1,117.74,Inverno,0,114
2022-01-01,S004,P0004,Alimentos,Oeste,168,88,252,51.64,0,Nevada,0,57.32,Inverno,0,86
2022-01-01,S004,P0005,Roupas,Oeste,289,197,0,89.23,10,Nevada,0,77.73,Inverno,0,183
2022-01-01,S004,P0006,Alimentos,Oeste,206,48,162,35.33,0,Nevada,0,34.77,Inverno,0,73
2022-01-01,S004,P0007,Alimentos,Oeste,185,43,253,24.34,5,Nevada,0,26.46,Inverno,0,65
2022-01-01,S004,P0008,Moveis,Oeste,281,59,0,100.64,0,Nevada,0,118.02,Inverno,0,80
2022-01-01,S004,P0009,Roupas,Oeste,206,106,299,110.47,5,Nevada,0,122.04,Inverno,0,98
2022-01-01,S004,P0010,Alimentos,Oeste,223,120,597,30.02,0,Nevada,0,29.15,Inverno,0,128
2022-01-01,S004,P0011,Roupas,Oeste,195,60,293,52.89,0,Nevada,0,62.29,Inverno,0,61
2022-01-01,S004,P0012,Eletronicos,Oeste,111,111,113,118.15,0,Nevada,0,133.46,Inverno,0,103
2022-01-01,S004,P0013,Alimentos,Oeste,136,104,385,20.24,10,Nevada,0,18.9,Inverno,0,110
2022-01-01,S004,P0014,Moveis,Oeste,110,52,122,148.46,10,Nevada,1,178.25,Inverno,0,70
2022-01-01,S004,P0015,Moveis,Oeste,249,42,0,86.47,5,Nevada,0,81.87,Inverno,0,44
2022-01-01,S004,P0016,Moveis,Oeste,155,74,218,110.39,10,Nevada,0,101.16,Inverno,0,71
2022-01-01,S004,P0017,Roupas,Oeste,232,65,0,84.83,10,Nevada,0,94.7,Inverno,0,85
2022-01-01,S004,P0018,Moveis,Oeste,165,64,0,141.31,10,Nevada,0,150.73,Inverno,0,67
2022-01-01,S004,P0019,Roupas,Oeste,146,125,103,56.86,10,Nevada,0,64.61,Inverno,0,111
2022-01-01,S004,P0020,Moveis,Oeste,290,52,0,124.97,10,Nevada,0,110.39,Inverno,0,76
2022-01-01,S005,P0001,Alimentos,Norte,182,75,198,11.46,5,Nevada,0,9.92,Inverno,0,84
2022-01-01,S005,P0002,Eletronicos,Norte,131,131,474,48.68,10,Nevada,1,51.85,Inverno,0,186
2022-01-01,S005,P0003,Brinquedos,Norte,247,145,0,29.57,20,Nevada,1,26.3,Inverno,0,143
2022-01-01,S005,P0004,Alimentos,Norte,195,143,114,7.45,10,Nevada,0,8.33,Inverno,0,121
2022-01-01,S005,P0005,Alimentos,Norte,187,126,344,20.02,0,Nevada,0,18.12,Inverno,0,148
2022-01-01,S005,P0006,Alimentos,Norte,280,59,300,53.49,5,Nevada,0,52.34,Inverno,0,67
2022-01-01,S005,P0007,Alimentos,Norte,297,74,0,82.73,0,Nevada,0,79.8,Inverno,0,85
2022-01-01,S005,P0008,Alimentos,Norte,229,165,0,73.42,0,Nevada,0,84.61,Inverno,0,149
2022-01-01,S005,P0009,Alimentos,Norte,270,59,268,94.75,0,Nevada,0,112.34,Inverno,0,94
2022-01-01,S005,P0010,Alimentos,Norte,132,132,436,70.86,0,Nevada,0,63.54,Inverno,0,136
2022-01-01,S005,P0011,Eletronicos,Norte,220,17,0,62.12,0,Nevada,0,55.78,Inverno,0,15
2022-01-01,S005,P0012,Moveis,Norte,230,71,371,133.86,5,Nevada,0,118.2,Inverno,0,84
2022-01-01,S005,P0013,Alimentos,Norte,145,82,328,71.03,10,Nevada,0,78.02,Inverno,0,116
2022-01-01,S005,P0014,Moveis,Norte,193,63,219,161.18,10,Nevada,1,156.66,Inverno,0,82
2022-01-01,S005,P0015,Alimentos,Norte,132,108,203,44.36,10,Nevada,0,52.84,Inverno,0,93
2022-01-01,S005,P0016,Brinquedos,Norte,131,59,191,32.84,0,Nevada,0,39.5,Inverno,0,76
2022-01-01,S005,P0017,Brinquedos,Norte,159,89,73,33.04,10,Nevada,0,37.53,Inverno,0,88
2022-01-01,S005,P0018,Roupas,Norte,245,68,0,22.41,0,Nevada,0,22.24,Inverno,0,88
2022-01-01,S005,P0019,Moveis,Norte,202,42,0,119.15,10,Nevada,0,102.4,Inverno,0,47
2022-01-01,S005,P0020,Brinquedos,Norte,131,79,105,28.66,10,Nevada,0,34.32,Inverno,0,104
2022-01-02,S001,P0001,Eletronicos,Norte,93,71,0,65.63,5,Nevada,0,73.66,Inverno,0,84
2022-01-02,S001,P0002,Roupas,Norte,249,116,0,74.44,10,Nevada,0,87.66,Inverno,0,175
2022-01-02,S001,P0003,Roupas,Norte,133,130,0,66.15,0,Nevada,0,74.15,Inverno,0,156
2022-01-02,S001,P0004,Eletronicos,Norte,94,82,183,91.64,10,Nevada,0,105.17,Inverno,0,78
2022-01-02,S001,P0005,Alimentos,Norte,87,87,487,63.35,0,Nevada,0,61.2,Inverno,0,103
2022-01-02,S001,P0006,Brinquedos,Norte,149,77,172,36.93,5,Nevada,0,32.24,Inverno,0,65
2022-01-02,S001,P0007,Alimentos,Norte,37,37,497,27.22,0,Nevada,0,31.11,Inverno,0,127
2022-01-02,S001,P0008,Eletronicos,Norte,202,37,0,37.38,5,Nevada,0,42.34,Inverno,0,58
2022-01-02,S001,P0009,Roupas,Norte,166,133,107,93.21,10,Nevada,0,83.66,Inverno,0,126
2022-01-02,S001,P0010,Moveis,Norte,122,105,498,129.03,10,Nevada,1,139.76,Inverno,0,107
2022-01-02,S001,P0011,Moveis,Norte,164,152,264,175.19,10,Nevada,1,187.65,Inverno,0,130
2022-01-02,S001,P0012,Alimentos,Norte,168,168,397,96.27,10,Nevada,1,109.41,Inverno,0,187
2022-01-02,S001,P0013,Brinquedos,Norte,166,73,90,32.72,10,Nevada,0,28.94,Inverno,0,107
2022-01-02,S001,P0014,Alimentos,Norte,131,81,0,70.94,0,Nevada,0,66.18,Inverno,0,75
2022-01-02,S001,P0015,Brinquedos,Norte,138,117,109,15.17,10,Nevada,1,16.81,Inverno,0,110
2022-01-02,S001,P0016,Alimentos,Norte,25,25,0,35.58,0,Nevada,0,30.98,Inverno,0,59
2022-01-02,S001,P0017,Brinquedos,Norte,69,33,50,17.76,10,Nevada,0,16.08,Inverno,0,42
2022-01-02,S001,P0018,Alimentos,Norte,203,172,155,66.33,10,Nevada,0,56.8,Inverno,0,144
2022-01-02,S001,P0019,Moveis,Norte,220,35,0,93.29,10,Nevada,0,99.51,Inverno,0,52
2022-01-02,S001,P0020,Moveis,Norte,230,93,432,119.87,10,Nevada,0,111.8,Inverno,0,92
2022-01-02,S002,P0001,Alimentos,Sul,0,0,350,86.71,10,Nublado,0,85.0,Inverno,0,137
2022-01-02,S002,P0002,Brinquedos,Sul,74,61,0,31.7,0,Nublado,0,36.09,Inverno,0,82
2022-01-02,S002,P0003,Alimentos,Sul,20,20,0,66.64,10,Nublado,0,61.22,Inverno,0,58
2022-01-02,S002,P0004,Alimentos,Sul,49,40,0,36.7,5,Nublado,0,35.23,Inverno,0,59
2022-01-02,S002,P0005,Eletronicos,Sul,52,52,412,98.83,5,Nublado,0,94.92,Inverno,0,115
2022-01-02,S002,P0006,Roupas,Sul,119,116,137,66.76,10,Nublado,0,59.62,Inverno,0,117
2022-01-02,S002,P0007,Brinquedos,Sul,144,95,0,30.0,0,Nublado,0,28.44,Inverno,0,95
2022-01-02,S002,P0008,Alimentos,Sul,99,99,153,29.35,0,Nublado,0,34.68,Inverno,0,140
2022-01-02,S002,P0009,Alimentos,Sul,0,0,263,74.78,0,Nublado,0,83.48,Inverno,0,158
2022-01-02,S002,P0010,Alimentos,Sul,318,179,0,101.56,25,Nublado,1,98.18,Inverno,0,234
2022-01-02,S002,P0011,Alimentos,Sul,157,135,474,91.4,15,Nublado,1,109.66,Inverno,0,137
2022-01-02,S002,P0012,Eletronicos,Sul,119,75,511,65.63,15,Nublado,1,56.85,Inverno,0,115
2022-01-02,S002,P0013,Alimentos,Sul,59,45,0,20.47,0,Nublado,0,22.07,Inverno,0,75
2022-01-02,S002,P0014,Eletronicos,Sul,84,84,564,134.04,10,Nublado,0,124.77,Inverno,0,135
2022-01-02,S002,P0015,Roupas,Sul,36,36,604,65.22,20,Nublado,1,71.11,Inverno,0,152
2022-01-02,S002,P0016,Roupas,Sul,0,0,260,107.38,0,Nublado,0,114.77,Inverno,0,159
2022-01-02,S002,P0017,Brinquedos,Sul,81,63,323,18.69,10,Nublado,0,20.42,Inverno,0,92
2022-01-02,S002,P0018,Roupas,Sul,143,74,87,26.16,5,Nublado,0,31.4,Inverno,0,92
2022-01-02,S002,P0019,Roupas,Sul,82,66,439,93.88,0,Nublado,0,85.41,Inverno,0,101
2022-01-02,S002,P0020,Moveis,Sul,83,77,214,134.4,0,Nublado,0,124.57,Inverno,0,70
2022-01-02,S003,P0001,Brinquedos,Leste,73,73,0,15.76,5,Nublado,0,16.81,Inverno,0,91
2022-01-02,S003,P0002,Alimentos,Leste,234,175,548,63.12,10,Nublado,0,55.32,Inverno,0,154
2022-01-02,S003,P0003,Eletronicos,Leste,127,125,160,109.88,0,Nublado,0,107.36,Inverno,0,145
2022-01-02,S003,P0004,Alimentos,Leste,81,39,0,19.9,0,Nublado,0,22.28,Inverno,0,56
2022-01-02,S003,P0005,Brinquedos,Leste,213,59,0,20.05,10,Nublado,0,17.73,Inverno,0,75
2022-01-02,S003,P0006,Brinquedos,Leste,121,70,96,40.69,0,Nublado,0,39.79,Inverno,0,91
2022-01-02,S003,P0007,Alimentos,Leste,124,124,0,16.3,10,Nublado,0,19.56,Inverno,0,132
2022-01-02,S003,P0008,Roupas,Leste,236,121,306,132.2,5,Nublado,0,148.43,Inverno,0,156
2022-01-02,S003,P0009,Alimentos,Leste,130,78,86,52.56,10,Nublado,0,51.15,Inverno,0,105
2022-01-02,S003,P0010,Alimentos,Leste,224,92,0,32.73,20,Nublado,1,32.0,Inverno,0,96
2022-01-02,S003,P0011,Eletronicos,Leste,2,2,386,113.61,25,Nublado,1,126.49,Inverno,0,163
2022-01-02,S003,P0012,Moveis,Leste,68,62,224,90.21,15,Nublado,1,106.9,Inverno,0,95
2022-01-02,S003,P0013,Alimentos,Leste,0,0,0,69.14,0,Nublado,0,72.85,Inverno,0,83
2022-01-02,S003,P0014,Alimentos,Leste,244,52,0,84.21,0,Nublado,0,83.63,Inverno,0,50
2022-01-02,S003,P0015,Alimentos,Leste,35,35,622,100.93,20,Nublado,1,120.1,Inverno,0,185
2022-01-02,S003,P0016,Eletronicos,Leste,212,126,289,126.78,0,Nublado,0,110.11,Inverno,0,156
2022-01-02,S003,P0017,Moveis,Leste,151,37,0,107.38,5,Nublado,0,92.46,Inverno,0,42
2022-01-02,S003,P0018,Moveis,Leste,233,65,0,127.98,10,Nublado,0,148.9,Inverno,0,90
2022-01-02,S003,P0019,Alimentos,Leste,92,92,95,56.72,5,Nublado,0,55.93,Inverno,0,107
2022-01-02,S003,P0020,Roupas,Leste,209,60,0,73.57,5,Nublado,0,62.9,Inverno,0,92
2022-01-02,S004,P0001,Alimentos,Oeste,130,130,734,12.67,10,Ensolarado,0,11.95,Inverno,0,160
2022-01-02,S004,P0002,Alimentos,Oeste,216,121,225,23.71,0,Ensolarado,0,21.48,Inverno,0,131
2022-01-02,S004,P0003,Moveis,Oeste,69,69,0,142.86,5,Ensolarado,0,134.09,Inverno,0,81
2022-01-02,S004,P0004,Alimentos,Oeste,80,20,0,38.88,5,Ensolarado,0,44.68,Inverno,0,26
2022-01-02,S004,P0005,Roupas,Oeste,92,92,152,83.84,10,Ensolarado,0,88.73,Inverno,0,178
2022-01-02,S004,P0006,Alimentos,Oeste,158,149,268,40.95,5,Ensolarado,0,34.97,Inverno,0,134
2022-01-02,S004,P0007,Alimentos,Oeste,142,142,563,36.85,0,Ensolarado,0,35.75,Inverno,0,164
2022-01-02,S004,P0008,Moveis,Oeste,222,28,0,84.29,5,Ensolarado,0,90.72,Inverno,0,46
2022-01-02,S004,P0009,Roupas,Oeste,100,100,494,120.17,10,Ensolarado,0,135.44,Inverno,0,142
2022-01-02,S004,P0010,Alimentos,Oeste,103,103,0,23.81,20,Ensolarado,1,26.5,Inverno,0,142
2022-01-02,S004,P0011,Roupas,Oeste,135,130,688,64.39,25,Ensolarado,1,58.88,Inverno,0,205
2022-01-02,S004,P0012,Eletronicos,Oeste,113,90,71,94.35,15,Ensolarado,1,102.02,Inverno,0,84
2022-01-02,S004,P0013,Alimentos,Oeste,32,32,501,24.95,0,Ensolarado,0,23.75,Inverno,0,144
2022-01-02,S004,P0014,Moveis,Oeste,58,58,185,175.28,0,Ensolarado,0,193.4,Inverno,0,87
2022-01-02,S004,P0015,Moveis,Oeste,207,72,200,74.92,20,Ensolarado,1,82.61,Inverno,0,65
2022-01-02,S004,P0016,Moveis,Oeste,81,67,0,122.71,0,Ensolarado,0,148.34,Inverno,0,86
2022-01-02,S004,P0017,Roupas,Oeste,167,99,149,117.24,0,Ensolarado,0,111.57,Inverno,0,138
2022-01-02,S004,P0018,Moveis,Oeste,101,94,104,169.09,5,Ensolarado,0,163.21,Inverno,0,87
2022-01-02,S004,P0019,Roupas,Oeste,124,124,162,66.93,5,Ensolarado,0,79.53,Inverno,0,148
2022-01-02,S004,P0020,Moveis,Oeste,238,56,0,114.9,5,Ensolarado,0,133.94,Inverno,0,53
2022-01-02,S005,P0001,Alimentos,Norte,107,81,0,11.7,0,Nevada,0,10.06,Inverno,0,75
2022-01-02,S005,P0002,Eletronicos,Norte,0,0,0,40.81,10,Nevada,0,38.43,Inverno,0,106
2022-01-02,S005,P0003,Brinquedos,Norte,102,87,109,29.13,10,Nevada,0,28.91,Inverno,0,100
2022-01-02,S005,P0004,Alimentos,Norte,166,77,109,7.79,10,Nevada,0,7.23,Inverno,0,119
2022-01-02,S005,P0005,Alimentos,Norte,61,61,0,15.31,10,Nevada,0,13.22,Inverno,0,95
2022-01-02,S005,P0006,Alimentos,Norte,221,122,540,56.83,10,Nevada,0,60.46,Inverno,0,116
2022-01-02,S005,P0007,Alimentos,Norte,223,3,0,56.72,0,Nevada,0,64.26,Inverno,0,4
2022-01-02,S005,P0008,Alimentos,Norte,64,64,103,58.77,10,Nevada,0,55.01,Inverno,0,94
2022-01-02,S005,P0009,Alimentos,Norte,211,80,0,103.03,0,Nevada,0,88.63,Inverno,0,104
2022-01-02,S005,P0010,Alimentos,Norte,0,0,629,72.29,10,Nevada,1,64.1,Inverno,0,182
2022-01-02,S005,P0011,Eletronicos,Norte,203,51,260,57.17,20,Nevada,1,64.73,Inverno,0,62
2022-01-02,S005,P0012,Moveis,Norte,159,117,439,131.02,10,Nevada,1,157.89,Inverno,0,110
2022-01-02,S005,P0013,Alimentos,Norte,63,63,319,75.5,5,Nevada,0,89.57,Inverno,0,118
2022-01-02,S005,P0014,Moveis,Norte,130,47,0,160.24,5,Nevada,0,152.98,Inverno,0,65
2022-01-02,S005,P0015,Alimentos,Norte,24,24,192,45.46,15,Nevada,1,49.28,Inverno,0,118
2022-01-02,S005,P0016,Brinquedos,Norte,72,72,209,35.13,0,Nevada,0,34.06,Inverno,0,81
2022-01-02,S005,P0017,Brinquedos,Norte,143,61,0,31.63,5,Nevada,0,35.51,Inverno,0,60
2022-01-02,S005,P0018,Roupas,Norte,177,177,239,28.59,10,Nevada,0,27.16,Inverno,0,211
2022-01-02,S005,P0019,Moveis,Norte,160,37,113,119.41,10,Nevada,0,139.55,Inverno,0,61
2022-01-02,S005,P0020,Brinquedos,Norte,157,56,0,26.62,10,Nevada,0,23.56,Inverno,0,68
2022-01-03,S001,P0001,Eletronicos,Norte,274,142,229,68.55,15,Nevada,1,80.73,Inverno,0,132
2022-01-03,S001,P0002,Roupas,Norte,133,92,118,78.32,0,Nevada,0,77.58,Inverno,0,137
2022-01-03,S001,P0003,Roupas,Norte,3,3,0,51.3,10,Nevada,1,56.0,Inverno,0,106
2022-01-03,S001,P0004,Eletronicos,Norte,114,55,0,91.74,5,Nevada,0,105.94,Inverno,0,63
2022-01-03,S001,P0005,Alimentos,Norte,0,0,761,58.17,25,Nevada,1,57.29,Inverno,0,172
2022-01-03,S001,P0006,Brinquedos,Norte,72,72,281,36.37,15,Nevada,1,36.01,Inverno,0,92
2022-01-03,S001,P0007,Alimentos,Norte,0,0,0,23.81,5,Nevada,0,25.21,Inverno,0,101
2022-01-03,S001,P0008,Eletronicos,Norte,165,56,0,42.35,0,Nevada,0,38.38,Inverno,0,64
2022-01-03,S001,P0009,Roupas,Norte,140,88,109,98.1,0,Nevada,0,86.64,Inverno,0,109
2022-01-03,S001,P0010,Moveis,Norte,17,17,0,138.64,0,Nevada,0,124.61,Inverno,0,82
2022-01-03,S001,P0011,Moveis,Norte,154,62,0,152.23,10,Nevada,0,175.99,Inverno,0,86
2022-01-03,S001,P0012,Alimentos,Norte,215,165,0,88.83,20,Nevada,1,97.64,Inverno,0,201
2022-01-03,S001,P0013,Brinquedos,Norte,183,47,0,29.75,0,Nevada,0,35.18,Inverno,0,64
2022-01-03,S001,P0014,Alimentos,Norte,50,50,0,81.49,5,Nevada,0,79.61,Inverno,0,134
2022-01-03,S001,P0015,Brinquedos,Norte,130,92,80,16.43,0,Nevada,0,14.9,Inverno,0,86
2022-01-03,S001,P0016,Alimentos,Norte,0,0,553,45.61,15,Nevada,1,40.77,Inverno,0,193
2022-01-03,S001,P0017,Brinquedos,Norte,86,59,94,22.74,0,Nevada,0,21.56,Inverno,0,80
2022-01-03,S001,P0018,Alimentos,Norte,186,134,115,72.12,0,Nevada,0,65.71,Inverno,0,137
2022-01-03,S001,P0019,Moveis,Norte,185,48,0,104.22,10,Nevada,0,95.66,Inverno,0,68
2022-01-03,S001,P0020,Moveis,Norte,137,85,0,94.75,25,Nevada,1,86.97,Inverno,0,77
2022-01-03,S002,P0001,Alimentos,Sul,0,0,0,84.32,20,Nublado,1,92.33,Inverno,0,189
2022-01-03,S002,P0002,Brinquedos,Sul,205,64,166,33.62,5,Nublado,0,30.87,Inverno,0,100
2022-01-03,S002,P0003,Alimentos,Sul,0,0,0,69.5,10,Nublado,1,79.43,Inverno,0,84
2022-01-03,S002,P0004,Alimentos,Sul,9,9,0,37.8,0,Nublado,0,37.38,Inverno,0,53
2022-01-03,S002,P0005,Eletronicos,Sul,0,0,0,103.86,10,Nublado,1,91.4,Inverno,0,150
2022-01-03,S002,P0006,Roupas,Sul,140,140,172,67.06,25,Nublado,1,64.59,Inverno,0,184
2022-01-03,S002,P0007,Brinquedos,Sul,49,49,300,27.9,0,Nublado,0,33.63,Inverno,0,89
2022-01-03,S002,P0008,Alimentos,Sul,153,126,155,30.53,0,Nublado,0,36.87,Inverno,0,154
2022-01-03,S002,P0009,Alimentos,Sul,260,134,0,68.23,10,Nublado,0,64.5,Inverno,0,145
2022-01-03,S002,P0010,Alimentos,Sul,139,116,107,86.08,10,Nublado,0,81.12,Inverno,0,105
2022-01-03,S002,P0011,Alimentos,Sul,22,22,0,109.82,0,Nublado,0,124.57,Inverno,0,144
2022-01-03,S002,P0012,Eletronicos,Sul,44,44,0,70.05,20,Nublado,1,59.81,Inverno,0,158
2022-01-03,S002,P0013,Alimentos,Sul,14,14,0,18.11,10,Nublado,0,21.08,Inverno,0,70
2022-01-03,S002,P0014,Eletronicos,Sul,0,0,0,125.35,10,Nublado,0,120.17,Inverno,0,113
2022-01-03,S002,P0015,Roupas,Sul,0,0,0,74.64,10,Nublado,0,83.24,Inverno,0,158
2022-01-03,S002,P0016,Roupas,Sul,323,113,0,69.5,25,Nublado,1,74.88,Inverno,0,109
2022-01-03,S002,P0017,Brinquedos,Sul,18,18,0,20.44,0,Nublado,0,23.47,Inverno,0,87
2022-01-03,S002,P0018,Roupas,Sul,156,96,121,29.14,10,Nublado,0,24.82,Inverno,0,127
2022-01-03,S002,P0019,Roupas,Sul,16,16,0,96.98,5,Nublado,0,109.82,Inverno,0,145
2022-01-03,S002,P0020,Moveis,Sul,6,6,0,82.98,25,Nublado,1,73.24,Inverno,0,22
2022-01-03,S003,P0001,Brinquedos,Leste,193,117,316,18.83,10,Nublado,1,20.46,Inverno,0,168
2022-01-03,S003,P0002,Alimentos,Leste,59,59,0,60.46,0,Nublado,0,57.57,Inverno,0,104
2022-01-03,S003,P0003,Eletronicos,Leste,162,162,197,102.13,10,Nublado,1,118.42,Inverno,0,175
2022-01-03,S003,P0004,Alimentos,Leste,42,42,0,20.88,10,Nublado,0,24.94,Inverno,0,99
